vin_1_10,county,city,state,zip_code,model_year,make,model,ev_type,cafv_type,electric_range,base_msrp,legislative_district,dol_vehicle_id,geocoded_column,electric_utility,_2020_census_tract,:@computed_region_x4ys_rtnd,:@computed_region_fny7_vc3j,:@computed_region_8ddd_yn5v
7SAXCAE51R,Snohomish,Everett,WA,98204.0,2024,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21.0,262554008,"{'type': 'Point', 'coordinates': [-122.27557, 47.88936]}",PUGET SOUND ENERGY INC,53061041901.0,3213.0,2.0,7.0
7SAYGDEF5N,King,Renton,WA,98059.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,11.0,208429651,"{'type': 'Point', 'coordinates': [-122.15716, 47.48852]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025103.0,3009.0,9.0,17.0
5YJXCAE26K,King,Seattle,WA,98115.0,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,43.0,282313944,"{'type': 'Point', 'coordinates': [-122.31676, 47.68156]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003601.0,3009.0,7.0,4.0
1V25MPE84R,King,Seattle,WA,98177.0,2024,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36.0,271865310,"{'type': 'Point', 'coordinates': [-122.36498, 47.72238]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001400.0,3009.0,7.0,21.0
5LMYJ9YY5N,King,Sammamish,WA,98075.0,2022,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,41.0,204023228,"{'type': 'Point', 'coordinates': [-122.03539, 47.61344]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032224.0,3009.0,8.0,47.0
5YJYGDEE4M,King,Seattle,WA,98125.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,46.0,169232101,"{'type': 'Point', 'coordinates': [-122.30253, 47.72656]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033000900.0,3009.0,7.0,48.0
JTDKARFP1J,King,Tukwila,WA,98188.0,2018,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,11.0,236592100,"{'type': 'Point', 'coordinates': [-122.29179, 47.43473]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033026200.0,3009.0,9.0,36.0
1C4JJXP61M,King,Seattle,WA,98133.0,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,46.0,187269134,"{'type': 'Point', 'coordinates': [-122.35029, 47.71871]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000300.0,3009.0,7.0,21.0
5YJ3E1EA2R,King,Kirkland,WA,98033.0,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48.0,267554710,"{'type': 'Point', 'coordinates': [-122.2066, 47.67887]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022703.0,3009.0,1.0,47.0
5YJSA1E50N,King,Kirkland,WA,98034.0,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1.0,211965092,"{'type': 'Point', 'coordinates': [-122.22901, 47.72201]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203.0,3009.0,1.0,1.0
